Business Name,SIC2 Category,SIC4 Category,SIC8 Category,Contact Name,State Code,City,ZIP Code,Address,Phone,Web,Coordinates,Location Type,Market Variable,Annual Revenue,SIC,NAICS,Industry
Pioneer Materials Inc,Fabrication,Plastics Materials and Basic Forms and Shapes,Plastics Materials and Basic Shapes,Leon Chiu,CA,Torrance,90505,3357 Candlewood Road,Not in Sample,pioneer-materials.com,"33.795781,-118.347453",Single Location,B2B,$100.000 to $499.999,5162,424610,Wholesale Trade
Sity Communications Inc,Shopping & Stores,"Miscellaneous Retail Stores, NEC",Telephone Equipment and Supplies,"Samson Kassaye, Owner",CA,Los Angeles,90025,1521 Beloit Avenue Apartment 1,Not in Sample,sitycom.com,"34.048623,-118.448898",Single Location,B2C,$5.000.000 to $9.999.999,5999,5418900,"Professional, Scientific, and Technical Services"
The Parlor Hair Designs In El Sereno,Consumer Services,Barber Shops,Barbers,Frank Garcia,CA,Los Angeles,90032,4979 Huntington Drive North,Not in Sample,elserenoscene.com,"34.08787,-118.174832",Single Location,B2C,$50.000 to $99.999,7241,812111,Other Services (except Public Administration)
Body by VI,Consumer Services,"Miscellaneous Personal Services, NEC",Weight Control Services,Dereck Christon,CA,Lakewood,90713,3717 E South St,Not in Sample,move.bodybyvi.com,"33.86011,-118.14959",Single Location,B2C,Unknown,,,
Western Fire Arms,Shopping & Stores,Auto and Home Supply Stores,Auto and Truck Equipment and Parts,"Aurelio Lopez, Owner",CA,Bell,90201,6621 Atlantic Avenue,Not in Sample,westernfirearmsinc.com,"33.9758,-118.18744",Single Location,B2C,$5.000.000 to $9.999.999,5531,4231400,Wholesale Trade
Valley Warehouse,Shopping & Stores,"Miscellaneous Retail Stores, NEC",Miscellaneous Retail Stores (Unclassified),Bob Davis,CA,Los Angeles,90021,746 South Alameda St,Not in Sample,,"34.031891,-118.238647",Single Location,B2C,$50.000 to $99.999,5999,453998,Retail Trade
Audio Visual Services Group Inc,Other Business Services,"Business Services, NEC","Advertising, Promotional, and Trade Show Services",Robert Ellis,CA,Long Beach,90802,111 West Ocean Boulevard # 1110,Not in Sample,psav.com,"33.767297,-118.193496",Headquarters,B2B,$20.000.000 to $49.9999.999,7389,561990,Administrative and Support and Waste Management and Remediation Services
Joseph Ford Inc,Healthcare,Offices and Clinics of Doctors of Medicine,Doctors,"Ledes Skider, Office Manager",CA,Torrance,90503,3475 Torrance Boulevard # H,Not in Sample,josephford.net,"33.83761,-118.34682",Single Location,B2C,$500.000 to $999.999,8011,6211110,Health Care and Social Assistance
Rudy Obrero,Printing & Publishing,Commercial Art and Graphic Design,Commercial Artists,"Rudy Obrero, Owner",CA,Los Angeles,90068,3400 Barham Boulevard,Not in Sample,rudyobrero.com,"34.134893,-118.3424",Single Location,B2B,$100.000 to $499.999,7336,5414300,"Professional, Scientific, and Technical Services"
Bamboo Management LLC,Professional Services,Management Services,Management Services,Heidi L Ifft,CA,Marina Del Rey,90292,17 Buccaneer St,Not in Sample,bamboomngmt.com,"33.97842,-118.465508",Single Location,B2B,$500.000 to $999.999,8741,561110,Administrative and Support and Waste Management and Remediation Services
Blue Leaf Financial Service Inc,Professional Services,Management Consulting Services,Financial Consultants,David J Gloshinski,CA,Los Angeles,90020,3923 West 6th St # 302,Not in Sample,blueleaffs.com,"34.063576,-118.30841",Single Location,B2B,$500.000 to $999.999,8742,5412110,"Professional, Scientific, and Technical Services"
Wesco Distribution Inc,Fabrication,"Electrical Apparatus and Equipment Wiring Supplies, and Construction Materials",Wholesale Electric Equipment and Supplies,Leslie Mccoy,CA,Santa Fe Springs,90670,10020 Freeman Avenue,Not in Sample,wesco.com,"33.946051,-118.058562",Branch,B2B,Unknown,5063,423610,Wholesale Trade
Kitchen Store,Shopping & Stores,Furniture Stores,Kitchen Cabinets and Equipment,Ken Bass,CA,Culver City,90230,6322 W Slauson Avenue,Not in Sample,thekitchenstore.net,"33.98869,-118.39594",Single Location,B2C,Unknown,,,
